TSS coordinate	Locus_tag	Strand
3688900	ACX60_17420	-
3689010	ACX60_17425	+
3691141	ACX60_17435	+
3692426	ACX60_17440	-
3694876	ACX60_17465	+
3712349	ACX60_17515	-
3721024	ACX60_17555	-
3722684	ACX60_17565	+
3725298	ACX60_17570	-
3729840	ACX60_17590	-
3735405	ACX60_17620	-
3736217	ACX60_17625	-
3736613	sRNA106	-
3736961	ACX60_17630	+
3745587	sRNA107	+
3746526	sRNA108	+
3747443	sRNA109	+
3748624	sRNA110	+
3756987	ACX60_17705	-
3757400	ACX60_17710	+
3764434	ACX60_17730	-
3774679	ACX60_17775	-
3775810	ACX60_17780	-
3783389	ACX60_17820	+
3787358	ACX60_17835	+
3790478	ACX60_17845	-
3791242	ACX60_17855	+
3792640	ACX60_17860	-
3798279	ACX60_17880	-
3798371	ACX60_17885	+
3799077	ACX60_17890	+
3804175	ACX60_17925	+
3810972	ACX60_17955	+
3812242	ACX60_17960	-
3813604	ACX60_17970	+
3825337	ACX60_18020	-
3827338	ACX60_18030	-
3828225	ACX60_18040	-
3830490	ACX60_18055	+
3831263	ACX60_18060	+
3834651	ACX60_18070	+
3837454	ACX60_18080	-
3839817	ACX60_18090	-
3840323	ACX60_18095	-
3843339	ACX60_18110	+
3844039	ACX60_18115	+
3845330	ACX60_18120	+
3849836	ACX60_18145	+
3850564	ACX60_18150	+
3851637	ACX60_18155	-
3857194	ACX60_18190	-
3857369	ACX60_00005	+
