TSS coordinate	Locus tag	Strand	TSS cluster ID	is_inside_ORF	Distance to ORF
808376	ACX60_RS03895	-	646	No	65
810501	ACX60_RS03905	-	647	No	73
812437	ACX60_RS03915	-	648	No	39
815625	ACX60_RS03930	-	649	No	38
815710	ACX60_RS03930	-	650	No	123
819105	ACX60_RS03950	-	651	No	33
820051	ACX60_RS03950	-	652	Yes	979
821218	gltA	-	653	No	204
853005	ACX60_RS04045	-	654	No	97
854589	ACX60_RS04060	-	655	No	23
856609	greA	-	656	Yes	254
860933	ACX60_RS04085	-	657	No	106
862682	ACX60_RS04100	-	658	No	22
879014	ACX60_RS04180	-	659	No	73
890999	ACX60_RS04230	-	660	No	53
892101	ACX60_RS04235	-	661	No	34
952728	ACX60_RS04510	-	662	No	61
956446	ACX60_RS04530	-	663	No	18
966512	ACX60_RS04575	-	664	No	46
971542	ACX60_RS04605	-	665	Yes	128
971944	ACX60_RS04610	-	666	No	99
971960	ACX60_RS04610	-	667	No	115
975304	ACX60_RS04625	-	668	Yes	97
1032003	ACX60_RS04855	-	669	Yes	141
1034221	dapD	-	670	No	23
1044159	ACX60_RS04905	-	671	No	3337
1058369	ACX60_RS05010	-	672	No	40
1063066	ACX60_RS05025	-	673	No	63
1064490	ACX60_RS05030	-	674	No	35
1080778	ACX60_RS05095	-	675	Yes	1879
1092382	ACX60_RS05155	-	676	No	26
1092455	ACX60_RS05155	-	677	No	99
1095237	ACX60_RS05165	-	678	No	40
1111485	ACX60_RS05225	-	679	No	21
1122791	ACX60_RS05275	-	680	No	22
1151969	ACX60_RS05395	-	681	No	35
1152511	ACX60_RS05400	-	682	No	34
1158556	ACX60_RS05425	-	683	No	32
1167078	ACX60_RS05455	-	684	Yes	358
1167775	ACX60_RS05460	-	685	No	23
1224986	ACX60_RS05685	-	686	No	142
1231555	ACX60_RS05715	-	687	No	28
1237513	ACX60_RS05735	-	688	Yes	157
1239323	trpD	-	689	No	86
1245899	ACX60_RS05760	-	690	No	120
1256689	ACX60_RS05820	-	691	No	38
1262713	ACX60_RS05840	-	692	No	139
1268962	ACX60_RS05860	-	693	No	136
1273905	ACX60_RS05880	-	694	No	33
1287365	ACX60_RS05950	-	695	No	97
1288678	ACX60_RS05955	-	696	Yes	118
1289750	ACX60_RS05960	-	697	No	28
1290708	ACX60_RS05965	-	698	Yes	207
1313908	ACX60_RS06075	-	699	No	30
1320864	ACX60_RS06110	-	700	No	28
1324887	ACX60_RS06125	-	701	No	25
1327499	ACX60_RS06140	-	702	No	59
1344467	ACX60_RS06210	-	703	No	25
1347521	ACX60_RS06235	-	704	No	24
1348509	ACX60_RS06240	-	705	No	34
1348588	ACX60_RS06240	-	706	No	113
1348877	ACX60_RS06245	-	707	No	23
1351140	ACX60_RS06260	-	708	No	27
1364518	rpsU	-	709	No	59
1398230	ACX60_RS06515	-	710	No	137
1415777	ACX60_RS06605	-	711	No	31
1416877	ACX60_RS06610	-	712	No	43
1418768	ACX60_RS06620	-	713	No	59
1419739	ACX60_RS06625	-	714	No	88
1421248	ACX60_RS06630	-	715	No	62
1422958	purH	-	716	No	72
1423355	ACX60_RS06640	-	717	No	110
1423539	ACX60_RS06640	-	718	No	294
1425409	prmA	-	719	No	26
1425819	ACX60_RS06655	-	720	No	49
1429310	ACX60_RS06665	-	721	No	32
1435851	ACX60_RS06695	-	722	No	45
1437119	ACX60_RS06710	-	723	No	35
1437178	ACX60_RS06710	-	724	No	94
1442280	ACX60_RS06735	-	725	No	121
1445773	ACX60_RS06745	-	726	No	100
1445781	ACX60_RS06745	-	727	No	108
1481896	ACX60_RS06900	-	728	No	432
1517725	ACX60_RS07055	-	729	No	71
1521377	ACX60_RS07070	-	730	No	56
1554799	ACX60_RS07220	-	731	No	48
1646347	ACX60_RS07735	-	732	No	131
1672194	ACX60_RS07855	-	733	No	27
1677100	ACX60_RS07885	-	734	No	34
1678256	ACX60_RS07890	-	735	No	75
1697520	ACX60_RS07980	-	736	No	71
1697697	ACX60_RS07980	-	737	Yes	248
1698125	ACX60_RS07985	-	738	Yes	90
1713998	ACX60_RS08060	-	739	No	36
1715512	ACX60_RS08070	-	740	No	72
1721733	ACX60_RS08085	-	741	No	100
1727885	ACX60_RS08120	-	742	No	21
1739684	ACX60_RS08205	-	743	No	21
1742035	ACX60_RS08220	-	744	No	26
1752472	ACX60_RS08250	-	745	No	29
1769727	ACX60_RS08335	-	746	No	25
1803163	ACX60_RS08495	-	747	No	29
1829544	ACX60_RS08615	-	748	No	22
1876711	ACX60_RS08855	-	749	No	61
1953241	ACX60_RS09210	-	750	No	49
1962951	ACX60_RS09260	-	751	No	155
1999239	ACX60_RS09425	-	752	No	43
2002981	ACX60_RS09440	-	753	No	30
2007217	ACX60_RS09465	-	754	No	19
2007290	ACX60_RS09465	-	755	No	92
2007375	ACX60_RS09465	-	756	No	177
2008636	ACX60_RS09480	-	757	No	22
2008812	ACX60_RS09480	-	758	No	198
2010274	ACX60_RS09485	-	759	No	33
2011616	ACX60_RS09495	-	760	No	134
2015986	ACX60_RS09520	-	761	No	21
2017093	ACX60_RS09530	-	762	No	25
2020672	ACX60_RS09555	-	763	No	22
2036784	ACX60_RS09630	-	764	No	33
2040431	ACX60_RS09645	-	765	Yes	233
2040823	ACX60_RS09650	-	766	Yes	105
2060005	ACX60_RS09725	-	767	No	25
2069653	ACX60_RS09765	-	768	No	46
2069667	ACX60_RS09765	-	769	No	60
2070264	ACX60_RS09770	-	770	No	32
2070423	ACX60_RS09770	-	771	No	191
2078587	ACX60_RS09820	-	772	No	28
2085210	ACX60_RS09845	-	773	Yes	27
2088178	ACX60_RS09865	-	774	No	132
2108098	ACX60_RS09940	-	775	No	169
2120922	ACX60_RS10000	-	776	No	25
2133632	ACX60_RS10105	-	777	No	79
2149028	ACX60_RS10220	-	778	No	10
2149907	ACX60_RS10230	-	779	No	31
2151962	rpsA	-	780	Yes	256
2151974	rpsA	-	781	Yes	268
2152539	ACX60_RS10240	-	782	Yes	42
2152569	ACX60_RS10240	-	783	Yes	72
2156033	ACX60_RS10265	-	784	No	24
2156194	ACX60_RS10265	-	785	No	185
2165157	ACX60_RS10320	-	786	Yes	31
2165348	ACX60_RS10320	-	787	Yes	222
2168065	ACX60_RS10340	-	788	Yes	147
2168167	ACX60_RS10340	-	789	Yes	249
2168598	ACX60_RS10345	-	790	No	26
2175404	ACX60_RS10370	-	791	No	17
2175778	ACX60_RS10375	-	792	No	27
2177090	ACX60_RS10380	-	793	No	27
2199714	ACX60_RS10490	-	794	No	56
2202383	ACX60_RS10500	-	795	No	59
2205656	ACX60_RS10520	-	796	No	202
2205675	ACX60_RS10520	-	797	No	221
2207906	ACX60_RS10535	-	798	No	22
2236044	ACX60_RS10680	-	799	No	177
2237222	ACX60_RS10685	-	800	No	54
2332064	ACX60_RS11140	-	801	No	67
2332643	ACX60_RS11145	-	802	No	77
2340934	ACX60_RS11175	-	803	No	29
2359512	ACX60_RS11265	-	804	Yes	727
2397392	ACX60_RS11425	-	805	Yes	208
2406567	paaA	-	806	No	27
2410390	ACX60_RS11485	-	807	No	59
2420946	ACX60_RS11530	-	808	No	175
2424408	ACX60_RS11545	-	809	No	24
2456627	ACX60_RS11680	-	810	Yes	2875
2461341	ACX60_RS11695	-	811	No	23
2470148	ACX60_RS18995	-	812	No	29
2482826	ACX60_RS11785	-	813	No	155
2491093	ACX60_RS11820	-	814	No	56
2495109	ACX60_RS11840	-	815	No	521
2496363	ACX60_RS11845	-	816	No	220
2524638	ACX60_RS11980	-	817	No	66
2527416	ACX60_RS11995	-	818	No	79
2536195	ACX60_RS12050	-	819	No	157
2540088	ACX60_RS12085	-	820	No	6
2563467	ACX60_RS12190	-	821	No	27
2568711	ACX60_RS12225	-	822	No	20
2568798	ACX60_RS12225	-	823	No	107
2577797	ACX60_RS12260	-	824	No	30
2584632	ACX60_RS12285	-	825	No	118
2592926	ACX60_RS12330	-	826	No	65
2600296	ACX60_RS12355	-	827	No	143
2615849	ACX60_RS12425	-	828	No	23
2642858	ACX60_RS12660	-	829	No	26
2670136	ACX60_RS12780	-	830	Yes	90
2691715	ACX60_RS12865	-	831	No	54
2712984	ACX60_RS12965	-	832	No	190
2715231	ACX60_RS12970	-	833	No	227
2720972	ACX60_RS12980	-	834	No	3085
2725118	ACX60_RS13000	-	835	Yes	3504
2729042	ACX60_RS13000	-	836	Yes	7428
2729318	ACX60_RS13000	-	837	Yes	7704
2730516	ACX60_RS13000	-	838	Yes	8902
2730875	ACX60_RS13000	-	839	Yes	9261
2733536	ACX60_RS13015	-	840	No	23
2741496	ACX60_RS13050	-	841	No	24
2755969	ACX60_RS13100	-	842	No	60
2756087	ACX60_RS13100	-	843	No	178
2761746	ACX60_RS13125	-	844	Yes	108
2766905	ACX60_RS13165	-	845	No	199
2773263	ACX60_RS13200	-	846	No	220
2788695	ACX60_RS13245	-	847	No	19
2791443	ACX60_RS13260	-	848	Yes	104
2791625	ACX60_RS13260	-	849	Yes	286
2793369	ACX60_RS13270	-	850	No	51
2805317	ACX60_RS13340	-	851	No	89
2805495	ACX60_RS13340	-	852	No	267
2806326	ACX60_RS13340	-	853	No	1098
2807997	ACX60_RS13340	-	854	No	2769
2810730	ACX60_RS13360	-	855	No	25
2814233	ACX60_RS13375	-	856	No	152
2814337	ACX60_RS13375	-	857	No	256
2815932	ACX60_RS13380	-	858	No	26
2817650	ACX60_RS13385	-	859	No	25
2826455	ACX60_RS13430	-	860	No	61
2831780	ACX60_RS13455	-	861	No	28
2832864	ACX60_RS13455	-	862	No	1112
2836359	ACX60_RS13455	-	863	Yes	4607
2836426	ACX60_RS13470	-	864	No	43
2837211	ACX60_RS13475	-	865	No	20
2846372	ACX60_RS13510	-	866	No	25
2846394	ACX60_RS13510	-	867	No	47
2862606	ACX60_RS13570	-	868	No	105
2880271	ACX60_RS13665	-	869	No	30
2882104	ACX60_RS13675	-	870	Yes	306
2883564	ACX60_RS13680	-	871	Yes	424
2885761	ACX60_RS13690	-	872	No	35
2890181	ACX60_RS13715	-	873	No	26
2917133	ACX60_RS13825	-	874	No	497
2919560	ACX60_RS13830	-	875	No	168
2936975	ACX60_RS13905	-	876	No	48
2937002	ACX60_RS13905	-	877	No	75
2937020	ACX60_RS13905	-	878	No	93
2937423	ACX60_RS13905	-	879	No	496
2938918	ACX60_RS13920	-	880	No	36
2939524	ACX60_RS13925	-	881	No	34
2940622	ACX60_RS13930	-	882	No	31
2942660	ACX60_RS13940	-	883	Yes	149
2946682	ACX60_RS13955	-	884	No	22
2947539	ACX60_RS13960	-	885	No	32
2947560	ACX60_RS13960	-	886	No	53
2956031	ACX60_RS14000	-	887	No	72
2956106	ACX60_RS14000	-	888	No	147
2962930	tuf	-	889	No	72
2963161	tuf	-	890	Yes	303
2966326	ACX60_RS14050	-	891	No	52
2967831	ACX60_RS14055	-	892	No	31
2985201	ACX60_RS19000	-	893	No	1
2986007	ACX60_RS14145	-	894	No	23
2987212	ACX60_RS14155	-	895	No	23
2989484	ACX60_RS14165	-	896	No	274
2993865	ACX60_RS14180	-	897	No	122
3004178	ACX60_RS14255	-	898	No	54
3005553	ACX60_RS14265	-	899	No	45
3006104	ACX60_RS14270	-	900	Yes	169
3007007	ACX60_RS14275	-	901	Yes	253
3007770	ACX60_RS14280	-	902	No	33
3008129	rpmF	-	903	No	54
3008273	rpmF	-	904	Yes	198
3008715	ACX60_RS14290	-	905	No	5
3008946	ACX60_RS14290	-	906	No	236
3022139	ACX60_RS14360	-	907	No	18
3029074	ACX60_RS14375	-	908	Yes	80
3030990	ACX60_RS14385	-	909	No	237
3033813	ACX60_RS14400	-	910	No	68
3044594	dcd	-	911	No	32
3045290	ACX60_RS14445	-	912	No	20
3048506	ACX60_RS14460	-	913	No	35
3049158	ACX60_RS14465	-	914	No	41
3052593	ACX60_RS14480	-	915	No	24
3060466	ACX60_RS14515	-	916	No	90
3062378	ACX60_RS14530	-	917	No	23
3065023	upp	-	918	No	24
3080226	ACX60_RS14615	-	919	No	81
3084511	ACX60_RS14630	-	920	Yes	399
3104996	ACX60_RS14690	-	921	No	972
3107974	ACX60_RS14705	-	922	No	127
3113815	ACX60_RS14730	-	923	Yes	89
3131148	ACX60_RS14815	-	924	No	39
3132440	ACX60_RS14820	-	925	No	124
3133769	argJ	-	926	No	86
3134710	ACX60_RS14835	-	927	No	79
3139864	ACX60_RS14860	-	928	No	25
3140914	ACX60_RS14865	-	929	No	32
3143680	ACX60_RS14880	-	930	No	72
3149267	ACX60_RS14910	-	931	Yes	95
3155533	ACX60_RS14935	-	932	No	113
3159603	ACX60_RS14950	-	933	No	28
3160575	hisG	-	934	Yes	211
3161912	ACX60_RS14965	-	935	No	34
3161952	ACX60_RS14965	-	936	No	74
3162495	ACX60_RS14970	-	937	No	140
3164011	ACX60_RS14975	-	938	No	39
3176655	ACX60_RS15040	-	939	No	24
3181298	ACX60_RS15055	-	940	No	25
3185790	ACX60_RS15070	-	941	Yes	110
3187187	ACX60_RS15075	-	942	Yes	246
3187958	ACX60_RS15080	-	943	Yes	139
3192913	ihfA	-	944	Yes	226
3193389	ihfA	-	945	Yes	702
3199081	ACX60_RS15140	-	946	No	65
3201687	ACX60_RS15155	-	947	No	31
3202481	ACX60_RS15160	-	948	Yes	206
3202592	ACX60_RS15160	-	949	Yes	317
3202763	ACX60_RS15160	-	950	Yes	488
3202890	ACX60_RS15160	-	951	Yes	615
3204449	ACX60_RS15165	-	952	No	108
3204495	ACX60_RS15165	-	953	No	154
3207281	ACX60_RS15180	-	954	Yes	32
3207504	ACX60_RS15180	-	955	Yes	255
3208241	ACX60_RS15185	-	956	Yes	144
3211862	ACX60_RS15205	-	957	No	93
3212472	ACX60_RS15210	-	958	Yes	168
3216486	ACX60_RS15225	-	959	Yes	171
3216571	ACX60_RS15225	-	960	Yes	256
3216852	ACX60_RS15225	-	961	Yes	537
3217101	ACX60_RS15225	-	962	Yes	786
3219522	ACX60_RS15240	-	963	No	20
3229662	ACX60_RS15285	-	964	No	78
3236401	ACX60_RS15320	-	965	No	27
3238889	ACX60_RS15320	-	966	Yes	2515
3250622	ACX60_RS15365	-	967	No	27
3270732	ACX60_RS15440	-	968	No	24
3271609	ACX60_RS15445	-	969	No	33
3293890	ACX60_RS15575	-	970	No	158
3295105	ACX60_RS15580	-	971	Yes	40
3295312	ACX60_RS15580	-	972	Yes	247
3295333	ACX60_RS15580	-	973	Yes	268
3298422	ACX60_RS15595	-	974	Yes	226
3301130	ACX60_RS15610	-	975	No	82
3306277	ACX60_RS15635	-	976	No	65
3306307	ACX60_RS15635	-	977	No	95
3306445	ACX60_RS15635	-	978	No	233
3318092	ACX60_RS15680	-	979	No	82
3325414	ACX60_RS15705	-	980	No	59
3326864	clpX	-	981	No	48
3327560	ACX60_RS15715	-	982	No	37
3329096	ACX60_RS15720	-	983	No	46
3329121	ACX60_RS15720	-	984	No	71
3351916	ACX60_RS15830	-	985	Yes	139
3353278	ACX60_RS15840	-	986	No	81
3354489	ACX60_RS15845	-	987	No	37
3359581	ACX60_RS15875	-	988	No	57
3360179	ACX60_RS15880	-	989	No	39
3362745	ACX60_RS15895	-	990	No	21
3367166	ACX60_RS15910	-	991	Yes	133
3367481	ACX60_RS15910	-	992	Yes	448
3371960	ACX60_RS15930	-	993	No	2514
3376079	ACX60_RS15955	-	994	No	142
3376117	ACX60_RS15955	-	995	No	180
3376391	ACX60_RS15955	-	996	No	454
3376544	ACX60_RS15955	-	997	No	607
3377800	ACX60_RS15960	-	998	No	52
3384839	ACX60_RS15990	-	999	No	79
3385740	ACX60_RS16000	-	1000	No	74
3388044	ACX60_RS16015	-	1001	No	47
3399200	ACX60_RS16060	-	1002	No	42
3405060	ACX60_RS16090	-	1003	No	238
3413510	ACX60_RS16115	-	1004	Yes	1234
3414373	ACX60_RS16125	-	1005	No	23
3422926	ACX60_RS16170	-	1006	No	26
3425783	ACX60_RS16190	-	1007	Yes	49
3428097	ACX60_RS16200	-	1008	Yes	245
3428870	ACX60_RS16205	-	1009	No	31
3436742	ACX60_RS16250	-	1010	Yes	219
3446766	ACX60_RS16290	-	1011	No	23
3449470	ACX60_RS16300	-	1012	No	28
3449521	ACX60_RS16300	-	1013	No	79
3451124	ACX60_RS16300	-	1014	No	1682
3451571	ACX60_RS16300	-	1015	No	2129
3457406	ACX60_RS16315	-	1016	Yes	178
3461061	ACX60_RS16320	-	1017	No	194
3461145	ACX60_RS16320	-	1018	No	278
3463020	ACX60_RS16330	-	1019	No	34
3482742	ACX60_RS16410	-	1020	Yes	434
3483232	ACX60_RS16410	-	1021	Yes	924
3484790	ACX60_RS16430	-	1022	No	6
3485591	ACX60_RS16435	-	1023	Yes	421
3492861	ACX60_RS16475	-	1024	No	40
3507679	ACX60_RS16545	-	1025	No	38
3525785	ACX60_RS16620	-	1026	No	22
3529519	ACX60_RS16640	-	1027	No	24
3530096	ACX60_RS16645	-	1028	No	22
3532763	ACX60_RS16645	-	1029	Yes	2689
3542120	ACX60_RS16680	-	1030	Yes	196
3542393	ACX60_RS16685	-	1031	No	21
3543859	tuf	-	1032	No	85
3543926	tuf	-	1033	No	152
3544386	ACX60_RS16715	-	1034	No	33
3546760	ACX60_RS16725	-	1035	No	38
3547439	ACX60_RS16730	-	1036	No	22
3549923	ACX60_RS16735	-	1037	Yes	189
3551405	ACX60_RS16745	-	1038	No	50
3552036	ACX60_RS16750	-	1039	No	24
3552075	ACX60_RS16750	-	1040	No	63
3561385	ACX60_RS16800	-	1041	Yes	208
3572387	ACX60_RS16850	-	1042	Yes	371
3573417	murD	-	1043	No	30
3575956	ACX60_RS16865	-	1044	Yes	283
3581893	ACX60_RS16895	-	1045	No	77
3581962	ACX60_RS16895	-	1046	No	146
3581975	ACX60_RS16895	-	1047	No	159
3597426	ACX60_RS16970	-	1048	No	24
3598398	ACX60_RS16970	-	1049	Yes	996
3599448	ACX60_RS16980	-	1050	No	94
3616029	ACX60_RS17055	-	1051	No	57
3621521	ACX60_RS17080	-	1052	No	70
3624441	ACX60_RS17095	-	1053	No	256
3624610	ACX60_RS17095	-	1054	Yes	425
3628218	ACX60_RS17105	-	1055	No	43
3628667	ACX60_RS17105	-	1056	Yes	492
3628926	ACX60_RS17110	-	1057	No	24
3631230	ACX60_RS17120	-	1058	No	151
3639573	ACX60_RS17155	-	1059	No	50
3656839	ACX60_RS17245	-	1060	No	72
3661901	ACX60_RS17270	-	1061	No	27
3666000	ACX60_RS17295	-	1062	No	36
3669020	ACX60_RS17310	-	1063	Yes	176
3670753	ACX60_RS17315	-	1064	Yes	287
3673335	ACX60_RS17340	-	1065	No	56
3674316	ACX60_RS17345	-	1066	No	28
3678558	ACX60_RS17365	-	1067	Yes	1443
3680003	ACX60_RS17375	-	1068	No	66
3685172	ACX60_RS17395	-	1069	Yes	937
3685219	ACX60_RS17400	-	1070	No	40
3688900	guaA	-	1071	No	30
3692426	ACX60_RS17440	-	1072	No	22
3693255	ACX60_RS17445	-	1073	Yes	249
3718448	ACX60_RS17545	-	1074	Yes	63
3718460	ACX60_RS17545	-	1075	Yes	75
3725153	ACX60_RS17570	-	1076	No	71
3725298	ACX60_RS17570	-	1077	No	216
3729840	ACX60_RS17590	-	1078	No	27
3748227	ACX60_RS17680	-	1079	No	47
3766448	ACX60_RS17730	-	1080	Yes	2126
3771773	ACX60_RS17760	-	1081	Yes	82
3771794	ACX60_RS17760	-	1082	Yes	103
3772981	ACX60_RS17765	-	1083	Yes	450
3774679	ACX60_RS17775	-	1084	No	63
3775811	ACX60_RS17780	-	1085	No	21
3775863	ACX60_RS17780	-	1086	No	73
3776554	ACX60_RS17780	-	1087	Yes	764
3777992	ACX60_RS17790	-	1088	Yes	204
3778774	ACX60_RS17790	-	1089	Yes	986
3783172	ACX60_RS17815	-	1090	No	68
3790443	ACX60_RS17815	-	1091	Yes	7339
3790479	ACX60_RS17845	-	1092	No	27
3791129	ACX60_RS17850	-	1093	No	26
3798279	ACX60_RS17880	-	1094	No	59
3800536	ACX60_RS17895	-	1095	No	25
3800550	ACX60_RS17895	-	1096	No	39
3800655	ACX60_RS17895	-	1097	No	144
3812386	ACX60_RS17960	-	1098	Yes	176
3825337	ACX60_RS18020	-	1099	No	264
3828225	ACX60_RS18040	-	1100	No	51
3837012	ACX60_RS18045	-	1101	Yes	7580
3837454	ACX60_RS18080	-	1102	No	39
3837910	ACX60_RS18080	-	1103	No	495
3839816	ACX60_RS18090	-	1104	No	69
3843185	ACX60_RS18095	-	1105	Yes	2889
3843199	ACX60_RS18095	-	1106	Yes	2903
3843321	ACX60_RS18105	-	1107	No	92
3854807	trmE	-	1108	Yes	388
3857196	rpmH	-	1109	No	33
7847	ACX60_RS18230	+	1110	No	21
11215	ACX60_RS18250	+	1111	No	117
14570	ACX60_RS18260	+	1112	No	100
16020	ACX60_RS18265	+	1113	Yes	500
19480	ACX60_RS18285	+	1114	No	25
35581	ACX60_RS18370	+	1115	No	94
37654	ACX60_RS18375	+	1116	No	156
39761	ACX60_RS18400	+	1117	No	67
57698	ACX60_RS18505	+	1118	No	26
57973	ACX60_RS18510	+	1119	Yes	30
66653	ACX60_RS18570	+	1120	No	52
80887	ACX60_RS18635	+	1121	No	147
85316	ACX60_RS18655	+	1122	No	22
102673	ACX60_RS18780	+	1123	No	29
127588	ACX60_RS18910	+	1124	No	140
10454	ACX60_RS18240	-	1125	Yes	26
11057	ACX60_RS18245	-	1126	No	57
24393	ACX60_RS18305	-	1127	No	63
34795	ACX60_RS18365	-	1128	No	56
60291	ACX60_RS18515	-	1129	No	74
65297	ACX60_RS18560	-	1130	No	183
79236	ACX60_RS18610	-	1131	Yes	2269
95997	ACX60_RS18730	-	1132	No	113
123128	ACX60_RS18865	-	1133	No	107
133481	ACX60_RS18940	-	1134	Yes	207
135922	ACX60_RS18950	-	1135	No	61
